Time (ms),ax_m_s2,ay_m_s2,az_m_s2,gx_rad_s,gy_rad_s,gz_rad_s,Voltage (V),Current (A),Pressure (Pa),Temperature (C),Altitude (m),FlightPhase
5000,-0.14,-0.17,9.77,0.007,-0.024,0.005,12.595,1.20,101325.0,28.00,0.0,IDLE
6000,-0.29,0.12,9.89,0.007,-0.005,-0.002,12.594,1.20,101325.0,28.00,0.0,IDLE
7000,0.27,0.18,9.68,0.022,-0.020,0.009,12.593,1.20,101325.0,28.00,0.0,IDLE
8000,-0.17,0.04,9.83,-0.025,0.019,-0.007,12.592,1.20,101325.0,28.00,0.0,IDLE
9000,0.27,-0.15,9.83,-0.005,0.010,0.003,12.591,1.20,101325.0,28.00,0.0,IDLE
10000,-0.25,-0.13,9.72,0.011,0.009,-0.009,12.590,1.20,101325.0,28.00,0.0,IDLE
11000,-0.25,-0.02,9.90,-0.022,0.001,0.005,12.589,1.20,101325.0,28.00,0.0,IDLE
12000,-0.08,-0.03,9.79,-0.002,-0.002,-0.001,12.588,1.20,101325.0,28.00,0.0,IDLE
13000,0.21,-0.29,10.01,0.015,0.010,-0.000,12.452,35.00,101324.5,28.00,0.0,CLIMBING
13010,-0.10,-0.02,9.90,-0.005,0.015,-0.005,12.452,35.01,101324.0,28.00,0.1,CLIMBING
13020,0.19,-0.21,10.14,-0.006,0.012,-0.001,12.452,35.02,101323.6,28.00,0.1,CLIMBING
13030,-0.29,-0.20,10.02,-0.004,-0.015,-0.005,12.452,35.03,101323.1,28.00,0.2,CLIMBING
13040,-0.11,-0.28,9.88,-0.013,0.013,-0.006,12.452,35.04,101322.6,28.00,0.2,CLIMBING
13050,0.18,0.06,10.05,0.003,0.002,0.007,12.452,35.05,101322.1,28.00,0.2,CLIMBING
13060,-0.13,-0.05,9.99,0.002,0.023,-0.001,12.452,35.06,101321.6,28.00,0.3,CLIMBING
13070,0.14,-0.02,9.90,-0.001,-0.022,-0.007,12.452,35.08,101321.1,28.00,0.3,CLIMBING
13080,0.19,0.01,9.94,0.007,-0.002,-0.002,12.452,35.09,101320.7,28.00,0.4,CLIMBING
13090,0.14,0.05,10.06,0.003,0.012,-0.001,12.452,35.10,101320.2,28.00,0.4,CLIMBING
13100,0.21,-0.24,10.11,0.008,0.011,-0.007,12.451,35.11,101319.7,28.00,0.4,CLIMBING
13110,0.17,-0.18,9.87,-0.023,0.014,0.000,12.451,35.12,101319.2,28.00,0.5,CLIMBING
13120,-0.22,0.18,9.93,-0.015,0.007,-0.006,12.451,35.13,101318.7,28.00,0.5,CLIMBING
13130,0.00,0.01,9.94,-0.023,0.013,-0.008,12.451,35.14,101318.2,28.00,0.6,CLIMBING
13140,-0.27,-0.17,10.10,-0.017,-0.014,-0.007,12.451,35.15,101317.8,28.00,0.6,CLIMBING
13150,-0.23,-0.08,9.98,0.006,0.023,-0.006,12.451,35.16,101317.3,28.00,0.6,CLIMBING
13160,0.01,0.05,10.13,0.007,0.010,0.009,12.451,35.17,101316.8,28.00,0.7,CLIMBING
13170,-0.02,0.05,9.90,-0.022,-0.022,-0.003,12.451,35.18,101316.3,28.00,0.7,CLIMBING
13180,0.11,0.22,9.99,0.017,-0.018,0.000,12.451,35.20,101315.8,28.00,0.8,CLIMBING
13190,-0.29,0.17,9.89,-0.004,0.002,-0.002,12.451,35.21,101315.3,27.99,0.8,CLIMBING
13200,-0.27,0.03,9.93,0.016,0.022,-0.010,12.451,35.22,101314.8,27.99,0.8,CLIMBING
13210,-0.14,0.15,10.15,-0.018,0.018,-0.006,12.451,35.23,101314.3,27.99,0.9,CLIMBING
13220,0.02,-0.02,9.95,-0.002,-0.012,0.007,12.451,35.24,101313.9,27.99,0.9,CLIMBING
13230,0.04,0.05,9.96,0.023,-0.007,-0.002,12.451,35.25,101313.4,27.99,1.0,CLIMBING
13240,-0.16,-0.02,9.99,0.004,-0.009,0.002,12.451,35.26,101312.9,27.99,1.0,CLIMBING
13250,-0.20,-0.03,9.90,-0.025,0.014,-0.008,12.451,35.27,101312.4,27.99,1.1,CLIMBING
13260,0.01,-0.26,10.02,-0.002,-0.019,-0.008,12.451,35.28,101311.9,27.99,1.1,CLIMBING
13270,0.10,-0.07,10.04,-0.004,0.006,-0.001,12.451,35.29,101311.4,27.99,1.1,CLIMBING
13280,0.25,0.18,10.12,-0.024,0.015,0.007,12.451,35.30,101310.9,27.99,1.2,CLIMBING
13290,0.21,-0.01,10.04,-0.011,-0.009,-0.010,12.450,35.31,101310.4,27.99,1.2,CLIMBING
13300,-0.22,-0.18,10.02,0.021,0.010,-0.003,12.450,35.33,101309.9,27.99,1.3,CLIMBING
13310,-0.21,0.17,10.02,0.015,-0.018,0.000,12.450,35.34,101309.4,27.99,1.3,CLIMBING
13320,0.19,-0.26,9.98,0.004,0.017,-0.009,12.450,35.35,101308.9,27.99,1.3,CLIMBING
13330,0.27,0.11,9.90,0.024,-0.019,0.002,12.450,35.36,101308.5,27.99,1.4,CLIMBING
13340,-0.14,-0.25,10.01,0.021,0.008,-0.005,12.450,35.37,101308.0,27.99,1.4,CLIMBING
13350,-0.17,0.09,9.93,0.025,0.006,-0.002,12.450,35.38,101307.5,27.99,1.5,CLIMBING
13360,0.02,0.04,10.08,-0.015,-0.023,0.010,12.450,35.39,101307.0,27.99,1.5,CLIMBING
13370,-0.19,-0.17,10.06,0.016,-0.002,0.006,12.450,35.40,101306.5,27.99,1.5,CLIMBING
13380,0.08,0.25,9.87,-0.006,-0.017,-0.004,12.450,35.41,101306.0,27.99,1.6,CLIMBING
13390,0.16,-0.19,9.89,-0.008,-0.018,0.002,12.450,35.42,101305.5,27.99,1.6,CLIMBING
13400,0.23,-0.00,9.94,-0.018,0.024,-0.001,12.450,35.43,101305.0,27.99,1.7,CLIMBING
13410,0.26,0.04,9.97,-0.002,0.013,-0.008,12.450,35.44,101304.5,27.99,1.7,CLIMBING
13420,0.02,0.24,9.93,-0.011,0.023,0.000,12.450,35.45,101304.0,27.99,1.8,CLIMBING
13430,-0.13,-0.09,9.88,0.018,0.022,0.000,12.450,35.47,101303.5,27.99,1.8,CLIMBING
13440,0.05,0.28,10.10,0.022,0.020,-0.003,12.450,35.48,101303.0,27.99,1.8,CLIMBING
13450,0.27,-0.15,10.10,-0.023,-0.022,0.010,12.450,35.49,101302.5,27.99,1.9,CLIMBING
13460,0.20,-0.01,10.11,0.023,0.003,-0.001,12.450,35.50,101302.0,27.99,1.9,CLIMBING
13470,0.07,0.26,9.94,-0.010,0.012,-0.008,12.449,35.51,101301.5,27.99,2.0,CLIMBING
13480,0.25,-0.10,10.09,-0.019,-0.011,-0.005,12.449,35.52,101301.0,27.99,2.0,CLIMBING
